url,fetch_original_index,resolved_url,http_status,datetime_utc,fetch_error,filename,mimetype,encoding
https://www.milenio.com/opinion/alvaro-cueva/el-pozo-de-los-deseos-reprimidos/lunes-de-netflix,0,https://www.milenio.com/opinion/alvaro-cueva/el-pozo-de-los-deseos-reprimidos/lunes-de-netflix,200,2023-03-30T05:32:45.569385,,6870a4234518881ab1a98683c8f2535a.html,text/html,utf_8
https://www.milenio.com/futbol-internacional/mundial/caramelo-aficionado-tri-responde-criticas-fernando-schwartz,59,https://www.milenio.com/futbol-internacional/mundial/caramelo-aficionado-tri-responde-criticas-fernando-schwartz,200,2023-03-30T05:32:46.199672,,5a2ecf9d6e0039899b356777ad2c8fe0.html,text/html,utf_8
https://www.milenio.com/deportes/motor/muere-federico-gutierrez-piloto-mexicano-en-accidente-de-transito,124,https://www.milenio.com/deportes/motor/muere-federico-gutierrez-piloto-mexicano-en-accidente-de-transito,200,2023-03-30T05:32:47.041758,,3acd22755118cb74a72bb477840df18b.html,text/html,utf_8
https://www.milenio.com/negocios/ip-eu-pide-fortalecer-comercio-america-norte,100,https://www.milenio.com/negocios/ip-eu-pide-fortalecer-comercio-america-norte,200,2023-03-30T05:32:47.699263,,5dead1c79dac04eaa6097d1af5916815.html,text/html,utf_8
https://www.milenio.com/deportes/tenis/mexico-city-open-presento-oficialmente-edicion,142,https://www.milenio.com/deportes/tenis/mexico-city-open-presento-oficialmente-edicion,200,2023-03-30T05:32:48.776950,,b3ed583a2e810e313e17ce21107ab657.html,text/html,utf_8
https://www.milenio.com/deportes/tenis/stefanos-tsitsipas-baja-abierto-mexicano-2023,145,https://www.milenio.com/deportes/tenis/stefanos-tsitsipas-baja-abierto-mexicano-2023,200,2023-03-30T05:32:49.468011,,6ae8c8cf211890ce65f1d33750fcb0c6.html,text/html,utf_8
https://www.milenio.com/cultura/fil/panini-adquiere-licencia-publicar-contenido-marvel-mexico,83,https://www.milenio.com/cultura/fil/panini-adquiere-licencia-publicar-contenido-marvel-mexico,200,2023-03-30T05:32:50.512174,,ba7bead54209038f27efaab4b8fbe722.html,text/html,utf_8
https://www.milenio.com/negocios/canada-explorara-opciones-mexico-resuelve-consultas-energeticas,64,https://www.milenio.com/negocios/canada-explorara-opciones-mexico-resuelve-consultas-energeticas,200,2023-03-30T05:32:51.081142,,aaff418539ef464346b053be78b4db3b.html,text/html,utf_8
https://www.milenio.com/futbol-internacional/mundial/canelo-alvarez-lanza-advertencia-messi-por-pisar-playera-de-mexico,70,https://www.milenio.com/futbol-internacional/mundial/canelo-alvarez-lanza-advertencia-messi-por-pisar-playera-de-mexico,200,2023-03-30T05:32:51.997075,,c849d4b53302d69b41214b2977a59036.html,text/html,utf_8
https://www.milenio.com/politica/marcelo-ebrard-visita-empresa-honeywell-chihuahua,37,https://www.milenio.com/politica/marcelo-ebrard-visita-empresa-honeywell-chihuahua,200,2023-03-30T05:32:52.673235,,8607e6deee0f4f448e5acd8fb3a1025d.html,text/html,utf_8
